Date,Asset,Amount,Price per unit (EUR),Value (EUR),Transaction Type,Label
2023-01-08 01:00,SOL,0.01,13.56,0.07,Receive,Reward
2023-01-08 01:00,BNB,0.00,257.77,0.00,Receive,Reward
2023-01-08 01:00,DOGE,0.04,0.07,0.00,Receive,Reward
2023-01-08 01:00,ADA,0.02,0.28,0.01,Receive,Reward
2023-01-08 01:00,ETH,0.00,1210.42,0.00,Receive,Reward
2023-01-08 01:00,AXS,0.00,6.76,0.02,Receive,Reward
2023-01-08 01:00,DOT,0.00,4.52,0.01,Receive,Reward
2023-01-08 01:00,BUSD,0.13,0.94,0.13,Receive,Reward
2023-01-08 01:00,SOL,0.00,13.56,0.01,Receive,Reward
2023-01-08 01:00,DOT,0.00,4.52,0.01,Receive,Reward
2023-01-08 01:00,BNB,0.00,257.78,0.01,Receive,Reward
2023-01-08 01:00,ADA,0.09,0.28,0.03,Receive,Reward
2023-01-08 01:00,ADA,0.12,0.28,0.03,Receive,Reward
2023-01-08 01:00,SAND,0.00,0.47,0.00,Receive,Reward
2023-01-08 01:00,MATIC,0.00,0.79,0.00,Receive,Reward
2023-01-08 09:00,BETH,0.00,1176.78,0.08,Receive,Reward
2023-01-09 01:00,AXS,0.04,6.87,0.27,Receive,Reward
2023-01-09 01:00,XRP,0.01,0.33,0.00,Receive,Reward
2023-01-09 01:00,MATIC,0.00,0.79,0.00,Receive,Reward
2023-01-09 01:00,ALGO,0.00,0.19,0.00,Receive,Reward
2023-01-09 01:00,SHIB,38.38,0.00,0.00,Receive,Reward
2023-01-09 01:00,LTC,0.00,76.44,0.00,Receive,Reward
2023-01-09 01:00,SOL,0.01,15.26,0.08,Receive,Reward
2023-01-09 01:00,BNB,0.00,255.78,0.01,Receive,Reward
2023-01-09 01:00,SAND,0.00,0.48,0.00,Receive,Reward
2023-01-09 01:00,DOGE,0.04,0.07,0.00,Receive,Reward
2023-01-09 01:00,SOL,0.00,15.26,0.01,Receive,Reward
